date,title,genre,sales,day,month,year,season
1/4/17,The Space Between Us,Drama,7885294,4,1,2017,winter
1/5/17,Arise from Darkness,Horror,6112,5,1,2017,winter
1/6/17,"Accidental Courtesy: Daryl Davis, Race & America",Documentary,1940,6,1,2017,winter
1/6/17,A Different American Dream,Documentary,1172,6,1,2017,winter
1/6/17,German Concentration Camps Factual Survey,Documentary,4468,6,1,2017,winter
1/6/17,Whisky Galore,Romantic Comedy,17613,6,1,2017,winter
1/11/17,Sleepless,Thriller/Suspense,20783704,11,1,2017,winter
1/13/17,The Bye Bye Man,Thriller/Suspense,22395806,13,1,2017,winter
1/13/17,Enas Allos Kosmos,Drama,60298,13,1,2017,winter
1/13/17,Mostly Sunny,Documentary,4046,13,1,2017,winter
1/13/17,Ok Jaanu,Drama,355922,13,1,2017,winter
1/13/17,Rel諏ve: Histoire d'une cr诈ation,Documentary,5454,13,1,2017,winter
1/13/17,Saving Banksy,Documentary,47965,13,1,2017,winter
1/13/17,Tenemos La Carne,Horror,8438,13,1,2017,winter
1/13/17,Vince Giordano: There_验s a Future in the Past,Documentary,14807,13,1,2017,winter
1/18/17,Split,Horror,138141585,18,1,2017,winter
1/19/17,xXx: Return of Xander Cage,Action,44898413,19,1,2017,winter
1/20/17,Detour,Thriller/Suspense,1788,20,1,2017,winter
1/20/17,A Dog_验s Purpose,Drama,64321890,20,1,2017,winter
1/20/17,"My Father, Die",Action,4252,20,1,2017,winter
1/20/17,Panique,Drama,41569,20,1,2017,winter
1/20/17,Rester Vertical,Comedy,11747,20,1,2017,winter
1/20/17,The Resurrection of Gavin Stone,Comedy,2303792,20,1,2017,winter
1/20/17,Royahaye dame sobh,Documentary,2208,20,1,2017,winter
1/20/17,Sophie and the Rising Sun,Drama,34630,20,1,2017,winter
1/20/17,The Sunshine Makers,Documentary,10042,20,1,2017,winter
1/27/17,Cheng feng po lang,Drama,469706,27,1,2017,winter
1/27/17,Emily,Drama,3547,27,1,2017,winter
1/27/17,Gold,Drama,7227038,27,1,2017,winter
1/27/17,Gong fu yu jia,Action,362657,27,1,2017,winter
1/27/17,Massacre on Aisle 12,Comedy,21106,27,1,2017,winter
1/27/17,T2: Trainspotting,Drama,2395410,27,1,2017,winter
1/27/17,Xi You  Fu Yao Pian,Action,870451,27,1,2017,winter
2/2/17,A Cure for Wellness,Thriller/Suspense,8106986,2,2,2017,winter
2/2/17,The Lego Batman Movie,Adventure,175750384,2,2,2017,winter
2/3/17,Chapter & Verse,Drama,84147,3,2,2017,winter
2/3/17,The Comedian,Comedy,1658706,3,2,2017,winter
2/3/17,Grace of Jake,Drama,23078,3,2,2017,winter
2/3/17,Growing up Smith,Comedy,35312,3,2,2017,winter
2/3/17,I Am Not Your Negro,Documentary,7123919,3,2,2017,winter
2/3/17,Rings,Horror,27793018,3,2,2017,winter
2/8/17,Fifty Shades Darker,Drama,114434010,8,2,2017,winter
2/9/17,John Wick: Chapter Two,Action,92029184,9,2,2017,winter
2/10/17,2017 Oscar Shorts,Multiple Genres,2835355,10,2,2017,winter
2/10/17,Todos Queremos a Alguien,Romantic Comedy,1915789,10,2,2017,winter
2/10/17,Jolly LLB 2,Black Comedy,1654254,10,2,2017,winter
2/10/17,KEDi,Documentary,2755326,10,2,2017,winter
2/17/17,Fist Fight,Comedy,32187017,17,2,2017,winter
2/17/17,From Nowhere,Drama,8109,17,2,2017,winter
2/17/17,Haebing,Drama,43144,17,2,2017,winter
2/17/17,Keep Quiet,Documentary,50454,17,2,2017,winter
2/17/17,Lovesong,Drama,10545,17,2,2017,winter
2/17/17,XX,Horror,30911,17,2,2017,winter
2/23/17,Kong: Skull Island,Adventure,168052812,23,2,2017,winter
2/23/17,Logan,Action,226269952,23,2,2017,winter
2/24/17,Bitter Harvest,Drama,557241,24,2,2017,winter
2/24/17,Get Out,Horror,175484140,24,2,2017,winter
2/24/17,Stefan Zweig: Farewell to Europe,Drama,78373,24,2,2017,winter
2/27/17,The Journey,Drama,50531,27,2,2017,winter
3/1/17,Contemporary Color,Concert/Performance,15305,1,3,2017,spring
3/3/17,Before I Fall,Drama,12241072,3,3,2017,spring
3/3/17,Donald Cried,Comedy,61406,3,3,2017,spring
3/3/17,The Freedom to Marry,Documentary,6142,3,3,2017,spring
3/3/17,The Last Word,Drama,1779620,3,3,2017,spring
3/3/17,Love & Taxes,Romantic Comedy,33150,3,3,2017,spring
3/3/17,The Shack,Drama,57386418,3,3,2017,spring
3/3/17,Table 19,Comedy,3614896,3,3,2017,spring
3/3/17,Tim Timmerman: Hope of America,Comedy,97787,3,3,2017,spring
3/6/17,The Prison,Action,207481,6,3,2017,spring
3/8/17,"Love, Sweat & Tears",Documentary,512,8,3,2017,spring
3/9/17,Uncertain,Documentary,29736,9,3,2017,spring
3/10/17,The Ottoman Lieutenant,Drama,240978,10,3,2017,spring
3/10/17,Powidoki,Drama,30093,10,3,2017,spring
3/10/17,Raw,Horror,514870,10,3,2017,spring
3/10/17,The Sense of an Ending,Drama,1274420,10,3,2017,spring
3/10/17,Suntan,Romantic Comedy,5954,10,3,2017,spring
3/16/17,Beauty and the Beast,Musical,503861542,16,3,2017,spring
3/17/17,The Belko Experiment,Horror,10166820,17,3,2017,spring
3/17/17,The Boss Baby,Comedy,173540805,17,3,2017,spring
3/17/17,Song to Song,Drama,443684,17,3,2017,spring
3/21/17,The Lost City of Z,Action,8431170,21,3,2017,spring
3/22/17,Life,Thriller/Suspense,30223972,22,3,2017,spring
3/22/17,"A Woman, A Part",Drama,23562,22,3,2017,spring
3/23/17,CHiPS,Action,18600152,23,3,2017,spring
3/23/17,Ghost in the Shell,Action,40563557,23,3,2017,spring
3/24/17,The Devotion of Suspect X,Thriller/Suspense,686435,24,3,2017,spring
3/24/17,I Called Him Morgan,Documentary,97711,24,3,2017,spring
3/24/17,The Levelling,Drama,3040,24,3,2017,spring
3/24/17,Power Rangers,Action,85364450,24,3,2017,spring
3/24/17,Smurfs: The Lost Village,Adventure,44708273,24,3,2017,spring
